source_package,declaration,status,target_package,target_declaration
platform.basic,ARKUI_ELLIPSIS_MODE_START,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_DONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_GO,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_NEW_LINE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_NEXT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_PREVIOUS,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_SEARCH,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ENTER_KEY_TYPE_SEND,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_ADAPTER_EXIST,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_ADAPTER_NOT_BOUND,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_ARKTS_NODE_NOT_SUPPORTED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_ATTRIBUTE_OR_EVENT_NOT_SUPPORTED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_BUFFER_SIZE_ERROR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_BUFFER_SIZE_NOT_ENOUGH,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_CHILD_NODE_EXIST,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_COMPONENT_SNAPSHOT_TIMEOUT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_FOCUS_NON_EXISTENT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_FOCUS_NON_FOCUSABLE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_FOCUS_NON_FOCUSABLE_ANCESTOR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_GET_INFO_FAILED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_INTERNAL_ERROR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_INVALID_STYLED_STRING,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NODE_EVENT_NO_RETURN,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NODE_EVENT_PARAM_INDEX_OUT_OF_RANGE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NODE_EVENT_PARAM_INVALID,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NODE_INDEX_INVALID,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NODE_NOT_ON_MAIN_TREE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NON_SCROLLABLE_CONTAINER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NOT_CLONED_POINTER_EVENT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_NO_ERROR,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_PARAM_INVALID,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_POST_CLONED_COMPONENT_STATUS_ABNORMAL,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_ERROR_CODE_POST_CLONED_NO_COMPONENT_HIT_TO_RESPOND_TO_THE_EVENT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EVENT_HAND_LEFT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EVENT_HAND_NONE,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EVENT_HAND_RIGHT,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_EXPAND,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_FINISH_CALLBACK_LOGICALLY,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_FINISH_CALLBACK_REMOVED,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_FLEX_ALIGNMENT_CENTER,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_FLEX_ALIGNMENT_END,mapped,platform.ArkUI.ArkUI_NativeModule,
platform.basic,ARKUI_FLEX_ALIGNMENT_SPACE_AROUND,mapped,platform.ArkUI.ArkUI_NativeModule,
